Category,Genes (no.),Pi,Tajima's D,Fu & Li's D,Fu & Li's F
all,"3,103",1.304 (NA),1.074 (NA),1.006 (NA),1.223 (NA)
GWAS,"1,726",2.069 (0),1.148 (0.518),1.068 (0.001),1.302 (0.004)
sig,"1,051",2.43 (0),1.184 (0.314),1.164 (0),1.394 (0)
"rhizobium fitness, concordant",10,2.325 (1),0.686 (0.767),1.18 (0.999),1.191 (0.956)
"rhizobium fitness, discordant",85,2.838 (0.905),1.056 (0.936),1.245 (0.863),1.399 (0.994)
"symbiotic, concordant",97,3.603 (0.041),1.365 (0.768),1.388 (0.001),1.642 (0.051)
"symbiotic, discordant",21,2.458 (0.973),0.933 (0.93),1.258 (0.939),1.356 (0.992)
