"strain_ID","chloro1_DZA_1","chloro1_A17_2","chloro1_DZA_3","chloro1_A17_4","height1_DZA_1","height1_A17_2","height1_DZA_3","height1_A17_4","leaf1_DZA_1","leaf1_A17_2","leaf1_DZA_3","leaf1_A17_4","shoot_DZA_1","shoot_A17_2","shoot_DZA_3","shoot_A17_4","nod_DZA_1","nod_A17_2","nod_DZA_3","nod_A17_4","nod.weight_DZA_1","nod.weight_A17_2","nod.weight_DZA_3","nod.weight_A17_4"
"10",47.755091173305,49.3389721529455,47.1468718031351,44.9963761479666,4.01489368613433,3.12912919036305,7.54714982697708,7.01899640890529,5.15852341776041,3.2570787221094,9.11769003722079,8.46290472907444,0.541336562975425,0.147404449812315,1.32569561283514,0.608868562968833,41.7306462341639,14.5650960878956,21.8219391727823,33.6931890654316,2.05572224905192,0.629381837247515,3.91745182733605,1.97493133951239
"101",49.8376020502837,NA,47.6819785131897,40.4758211005954,4.18978865578967,0.933584180025028,7.37672750679662,7.84335866745909,5.58336575048421,2.31088433012585,6.72380779441863,12.5341874754094,0.474997852997813,0.0773694926225617,1.05097258397324,0.844739665303639,79.7339239372948,6.27238742879844,49.8240899264686,79.1538567108942,2.12416312580037,0.346558678523941,2.08279567299309,1.03533753101984
"114",51.450051102549,45.8227853054377,48.3558205148546,42.7206560134631,4.72537276550102,3.19254022358029,6.27788487713497,7.20512890874568,5.87461128491312,4.32094931333313,8.49672183504183,10.4686735826582,0.511476516216619,0.327603668753534,1.1094927399051,0.701022433142525,61.3971258354716,35.0252447761365,49.1281206055331,52.8075350389039,2.15019620118981,1.04409626508272,2.28083958075237,1.75295896222933
"117B",45.7718379981785,35.4219126465746,45.9424919950341,30.1880048920004,4.05236069230771,3.43947926524848,6.06155407893341,5.40011730938192,4.54221355904389,4.96629800347056,6.47622287502013,6.87158136383719,0.345564426610875,0.101260102211902,0.760527393956146,0.161777216114497,71.2353613010463,75.2254227361696,79.9601488265046,197.228293065367,1.66716027449885,0.571379773432628,0.765469451200644,0.287351583454275
"121",48.2779898285876,39.4092958585654,41.8929453227623,42.5760729290467,4.93920888631111,3.19149756929542,3.81184074015021,6.87817997255898,5.44782084339436,4.27688148720328,4.13732913327221,12.3286318757872,0.528102135228256,0.176411241426478,0.397891036537824,0.79175555614688,60.6773460097671,32.4639401396686,25.2799702915811,57.4216328671869,1.96114888913359,0.871980253236751,1.47674824267016,1.10677106444139
"123",26.3833175323787,28.6680236518936,46.6964650801334,37.7857382828393,4.70468321599368,2.0504591940783,6.81205455905579,7.69973898612375,4.65540528665749,3.31737849561677,7.58888492983021,10.0939641009294,0.478472399183291,0.0777014597896358,0.889947143147308,0.716434979567636,40.8181250556783,11.4053294987578,43.3582965037207,52.2574902904704,2.57486928806492,1.24694819458246,2.96797569956122,1.41218369263457
"14",43.2546404229378,NA,45.4474132702455,45.705716150153,4.59630824452896,2.4742225525245,7.76837496311376,6.98766940705425,4.7056790234457,2.47474487139157,7.52609448351528,7.95500929201302,0.493739013393458,0.141887380970632,0.802659232618405,0.540383516639017,49.8763996416153,18.8922616452839,50.4366673791783,52.4024401285339,1.85790895983415,1.25153934254811,1.28502122275737,1.49477311619834
"141",48.4559315475558,38.3905189625647,50.5120085824721,29.8548157230338,4.76926712044076,2.97343520585641,6.99556489451845,5.67516893300496,5.76164242082734,3.31737849561677,9.2086758878497,5.54657152126512,0.679327500594715,0.191786920205095,1.49729892504565,0.33065165106775,38.0278130039851,40.545063030013,42.8819073621038,58.5966553089998,2.31354193455633,1.4591560636031,1.81525601511665,1.28175115376991
"142",52.156085286632,42.7519748607326,48.599528338418,40.9500214707321,4.86123614390525,3.45722231333723,8.01232234986064,7.22057505453175,5.64619057876868,3.9576046480766,7.05862766149312,9.17725137811355,0.606352573454215,0.199951714760003,0.955264177696749,0.625009726849925,57.9821284631752,41.6325792822505,29.434389485083,32.7239827736998,6.12461433685873,1.69889208349542,3.17665266150042,1.36637737524365
"144A",43.8246475068682,38.0977635442747,51.0815072996275,39.4867905879454,4.21712589532873,3.53821175766271,7.008263004875,7.49418667569072,4.59515189839573,4.65428264666646,7.50368964578894,11.8779329506037,0.325589860924591,0.306453903574181,1.01085795587766,0.957999964902229,43.0678598743403,60.9333745263368,45.5921284411097,37.4342228582464,1.82087002387993,0.78951408584318,1.92290625962228,0.674159867208639
